day,nb_transfers,volume_rlc
2025-08-28 00:00:00.000 UTC,2932,33257107.645427518
2025-08-27 00:00:00.000 UTC,2383,16938561.917984914
2025-08-31 00:00:00.000 UTC,959,6852947.850640291
2025-09-28 00:00:00.000 UTC,595,4249999.676195602
2025-09-03 00:00:00.000 UTC,589,16233309.117542773
2025-09-02 00:00:00.000 UTC,527,17793444.032952175
2025-08-29 00:00:00.000 UTC,512,14990384.336970367
2025-09-06 00:00:00.000 UTC,482,3615912.1537798317
2025-08-19 00:00:00.000 UTC,426,5756597.453214104
2025-09-01 00:00:00.000 UTC,410,6905957.946638566
2025-09-14 00:00:00.000 UTC,339,2118214.1746138004
2025-07-21 00:00:00.000 UTC,333,2949276.226686527
2025-08-30 00:00:00.000 UTC,329,3152230.614106754
2025-09-07 00:00:00.000 UTC,283,2227788.1069895667
2025-08-20 00:00:00.000 UTC,274,4720630.992288517
2025-09-05 00:00:00.000 UTC,262,1783144.8564444145
2025-09-08 00:00:00.000 UTC,261,2299528.335985578
2025-09-23 00:00:00.000 UTC,258,3688967.245780524
2025-09-11 00:00:00.000 UTC,243,2157343.9454745934
2025-09-04 00:00:00.000 UTC,215,1630483.559340869
