month,nb_swaps,unique_traders,volume_usd
2025-03-01 00:00:00.000 UTC,97,25,11743.353963306163
2025-04-01 00:00:00.000 UTC,916,91,5030929.342564527
2025-05-01 00:00:00.000 UTC,1018,95,155072.26509872786
2025-06-01 00:00:00.000 UTC,675,81,82722.67214300981
2025-07-01 00:00:00.000 UTC,780,93,89337.7199847576
2025-08-01 00:00:00.000 UTC,3108,198,5307737.155034589
2025-09-01 00:00:00.000 UTC,2072,143,293276.92363860906
2025-10-01 00:00:00.000 UTC,2422,201,338736.7194914316
2025-11-01 00:00:00.000 UTC,2777,224,418835.26749567734
2025-12-01 00:00:00.000 UTC,2159,204,112393.67835329303
2026-01-01 00:00:00.000 UTC,1652,164,103230.76874846866
2026-02-01 00:00:00.000 UTC,866,108,34462.937099273404
2026-03-01 00:00:00.000 UTC,1349,120,50219.72483071326
