day,nb_transfers,volume_rlc
2025-03-17 00:00:00.000 UTC,511,4032174.509408748
2025-03-04 00:00:00.000 UTC,356,14263089.36808557
2025-03-10 00:00:00.000 UTC,312,2228917.765819785
2025-03-18 00:00:00.000 UTC,283,2428038.087555365
2025-05-04 00:00:00.000 UTC,272,101106.192473319
2025-03-11 00:00:00.000 UTC,234,1802065.8536368876
2025-05-11 00:00:00.000 UTC,220,1337428.4177826555
2025-03-19 00:00:00.000 UTC,186,1054049.7321745763
2025-03-21 00:00:00.000 UTC,174,2653271.7154849092
2025-03-14 00:00:00.000 UTC,166,252912.616607842
2025-04-17 00:00:00.000 UTC,162,556006.2056013388
2025-04-12 00:00:00.000 UTC,153,831447.3723309219
2025-04-15 00:00:00.000 UTC,151,258116.32068810202
2025-04-11 00:00:00.000 UTC,148,950079.5990679758
2025-03-09 00:00:00.000 UTC,145,203589.98136113203
2025-05-09 00:00:00.000 UTC,145,483740.984736947
2025-05-02 00:00:00.000 UTC,144,434835.636944899
2025-05-24 00:00:00.000 UTC,137,261698.53230916103
2025-03-22 00:00:00.000 UTC,136,544573.71270146
2025-03-13 00:00:00.000 UTC,130,281208.004030081
