month,nb_transfers,unique_senders,unique_receivers,volume_rlc
2025-03-01 00:00:00.000 UTC,212,88,94,362712.960515007
2025-04-01 00:00:00.000 UTC,2885,619,684,10814966.119693888
2025-05-01 00:00:00.000 UTC,4022,738,754,19616336.099274106
2025-06-01 00:00:00.000 UTC,3471,620,705,30429760.618834812
2025-07-01 00:00:00.000 UTC,3224,797,809,17226158.88717479
2025-08-01 00:00:00.000 UTC,10447,1295,1266,110365159.33352754
2025-09-01 00:00:00.000 UTC,6871,882,962,86613802.21660486
2025-10-01 00:00:00.000 UTC,6639,865,1023,41488644.16856682
2025-11-01 00:00:00.000 UTC,5895,859,926,29374703.765498154
2025-12-01 00:00:00.000 UTC,4030,667,746,49073172.44079242
2026-01-01 00:00:00.000 UTC,3575,694,607,10378114.810425086
2026-02-01 00:00:00.000 UTC,2053,459,530,8053081.240640326
2026-03-01 00:00:00.000 UTC,3309,431,559,18668730.6523044
