address,nb_received,volume_received_rlc
0x28c6c06298d514db089934071355e5743bf21d60,4646,80286752.58952054
0xf977814e90da44bfa03b6295a0616a897441acec,46,35087712.82299999
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,645,22695347.55830296
0xb334a61a6209f14b5fa5f1684a4ed7621f66e1ef,856,15428264.2803709
0x21a31ee1afc51d94c2efccaa2092ad1028285549,145,14640001.483561223
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,138,14155471.281690208
0xc0e364408bcb86dad77dfa0db043c536d9b50afb,15,13601215.439808134
0xd2f834c80adcc5135092e907d49d0b46ec009747,704,13110875.556688262
0xec899dd06ead75cd164b8ea9db187f8bf634d9b1,354,11615459.95076683
0x5a52e96bacdabb82fd05763e25335261b270efcb,1,10000000
0xa59b56a167138ab567b44bb0f438c4c1f9748d10,7,8354294.512
0x0c97305bd07fc582bcc2042b9a2dedd9f451e75b,243,5632809
0x76ec5a0d3632b2133d9f1980903305b62678fbd3,43,5427873.482433042
0xab782bc7d4a2b306825de5a7730034f8f63ee1bc,748,5205721.557213231
0xa7a5c7602bd8a0b156980b9c41efa781e1af208f,197,4574984.080000001
0xb5a46bc8b76fd2825aeb43db9c9e89e89158ecde,895,4429501.085540891
0xd5f5475502120ad0e3dbaa25ecedffd19d6569fa,316,4428348.144999999
0xde2faca4bbc0aca08ff04d387c39b6f6325bf82a,553,4295538.880000019
0x06fd4ba7973a0d39a91734bbc35bc2bcaa99e3b0,954,4262648.356857982
0x23d6bf06a756bcdc520085bfcca174009a40c55d,265,4137605.686307589
